Mkt_Title,Level,Start_Date,Length,Hours_Per_Week,Mode_Of_Attendance,Location,Home_Fee,Mkt_Level,Is_the_course_for_me,What_is_learnt,What_is_involved,Options_on_completion,What_do_I_need_to_get_on_the_course,How_long_is_the_course,How_much_will_the_course_cost,Code,Occurrence,Mnemonic,Subject_Area
Pre Access to Health,2,04-Jun-07,6 weeks,10,Part Time Day,Stratford Campus,129,Level 2,"If you are an adult with life and work experience but no formal qualification, and want to study at university, then this course is for you. It will enable you to build up the skills and knowledge you need to progress to an Access to Higher Education cour","Everyone studies Communication, Study skills and Maths. You also study subject on your Health pathway: Chemistry and Biology.","You will learn in a variety of ways, including individual and group tutorials, independent and group study and assignments including computer based and home assignments. There will be practical work too, as appropriate. You will have access to the multime","You can progress to the one year Access to Higher Education course in your chosen field. This is a credit based course, and at the end you will receive a profile of your credit achievement.","There are no formal qualifications for entry, but you must be at least 19 years old. You will need to demonstrate commitment and enthusiasm at interview and show potential for level 2.","The course starts on Monday 4 June 2007, and takes 6 weeks to complete studying part time day for 10 hours per week on various days over 3 days. You will study at the Stratford Campus.",The course fee is £129. If you are not eligible for the home student fee you will be charged the overseas fee of £645. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is y,C1203450,06/07F,1D-NC-PRHLTH-2-3F-S,Foundation programmes
Pre Access to Computing,2,19-Feb-07,6 weeks,10,Part Time Day,East Ham Campus,129,Level 2,"If you are an adult with life and work experience, but no formal qualifications and want to study at university, then this course could be the course for you. It will enable you to build up the skills and knowledge you need to progress to an Access to Hig","Everyone studies Communication, Study skills and Maths. You also study subjects on your Computing pathway: Databases, Spreadsheets and Introduction to Visual Basic.","You will learn in a variety of ways, including individual and group tutorials, independent and group study and assignments including computer based and home assignments. There will be practical work too, as appropriate. You will have access to the multime",You can progress to the one year Access to Higher Education course in your chosen field. This is a credit based course and at the end you will receive a profile of your credit achievement.,"There are no formal qualifications for entry, but you must be at least 19 years old. You will need to demonstrate commitment and enthusiasm at interview and show potential for level 2.","The course starts on Monday 19 February 2007, and takes 6 weeks to complete studying part time day for 10 hours per week on various days over 3 days. You will study at the East Ham Campus.",The course fee is £129. If you are not eligible for the home student fee you will be charged the overseas fee of £645. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is y,C1203451,06/07D,1D-NC-PRCOMP-2-1D,Foundation programmes
Pre Access Humanities,2,18-Apr-07,6 weeks,10,Part Time Day,East Ham Campus,129,Level 2,"If you are an adult with life and work experience, but without the formal qualifications for university, this course will enable you to build up the skills and knowledge you need to progress to an Access to Higher Education course and then to university.","Everyone studies Communication, Study skills and Maths. You also study subjects on your Humanities pathway: Culture and Civilisation, Sociology.","You will learn in a variety of ways, including individual and group tutorials, independent and group study. You will have access to the multimedia facilities in the FLEXes. Your work will be assessed throughout the course by written and computer based ass",You can progress to the one year Access to Higher Education course in your chosen field. This is a credit based course and at the end you will receive a profile of your credit achievement.,There are no formal qualifications for entry but you must be at least 19 years old. You will need to demonstrate commitment and enthusiasm at interview and show potential for level 2.,"The course starts on Wednesday 18 April 2007, and takes 6 weeks to complete studying part time day for 10 hours per week on various days over 3 days. You will study at the East Ham Campus.",The course fee is £129. If you are not eligible for the home student fee you will be charged the overseas fee of £645. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is y,C1203455,06/07E,1D-NC-PRHUM-2-2E,Foundation programmes
English for Speakers of Other Languages,Entry,16-Apr-07,12 weeks,5,Part Time Day,Forest Gate Learning Zone,0,Entry Level,"The courses are designed for non-native speakers of English who wish to develop or improve their English language skills. The courses are suitable for all levels of learner, from beginner upwards.","All our ESOL courses are based on the the ESOL National Core Curriculum and involve the development of skills in: Speaking, Listening, Reading, and Writing. The focus is on everyday English and developing practical communication skills. Learners also deve","The courses are part time and involve attendance for five hours a week. Courses are offered at all Associate Faculty centres, and are run in both the day and the evening.
A variety of teaching methods are used, including role play, drilling, group-work, ","When you achieve the appropriate standard, you will be able to progress to a higher level ESOL course. You will also be able to progress onto a vocational course if you wish to do so.","No qualifications are required, only a willingness to learn.
Your level of English will be assessed and you will be placed on the correct level of course for you.","The course starts on Monday 16 April 2007, and takes 12 weeks to complete studying part time day for 5 hours per week on various days. You will study at the Forest Gate Learning Zone.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £645. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to e",C1E01033,06/07E,1D-NC-ESOL-C-1E-FG,Foundation programmes
National Certificate in Care,3,11-Sep-06,2 years,16,Full Time,East Ham Campus,808,Level 3,"If you are either a school leaver or a mature person, who has a serious interest of working in the caring profession, this is the course you need.","Equal opportunites and clients' rights; Communicating in health and social care; Physical aspects of care; Factors affecting human growth and develpoment; Health, social care early years services
Research perspectives in health and social care; Social an","You will be assessed through a range of assigments as well as external exams. Key skills are studied in communication, information techology and numeracy. You will also have access to the computing resources in the College, including the latest multi-medi","A degree of Higher National Certificate (HNC) or a career in Care, Social work, Nursing or Teaching.",5 GCSEs grade C or above (usually including English & Mathematics) or GNVQ Intermediate (Merit) or NewCAD Intermediate Level Diploma or equivalent. You will be invited to the College for an interview. This may include an assesment of your communication an,"The course starts on Monday 11 September 2006, and takes 2 years to complete studying full time for 16 hours per week. You will study at the East Ham Campus.",The course fee is £808 per year. If you are not eligible for the home student fee you will be charged the overseas fee of £4000 per year. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee rem,C7301844,06/07A,2F-NCT-CARE-3-Y1,"Health, Social Care and Public services"
Get On Track Healthcare,2,03-Jan-07,6 weeks,5,Part Time Evening,East Ham Campus,75,Level 2 ,"Are you interested in a career in the health care industry?
Are you interested in studying flexibly in the evening to achieve your goal of working in the health care industry?
Are you working in the care industry at the moment and would like to improve ","This is a Level 2, health a social care course that offers a cohesive, broad based and inclusive program of study with clearly defined outcomes and progression routes.",Your work will be assessed through assignments.,"On successful completion of the course, you will be able to progress with a merit to the BTEC National Certificate in Care Level 3 or Early Years Professions course. Alternatively you will be able to look for employment as a Care Assistant in residential ","As this is a Level 2 course, the collage requires that candidates should have 4 GCSEs grade E or above (including English & Mathematics) or NewCAD Level 1 Diploma or Foundation GNVQ or NVQ Level 1 or equivalent overseas qualifications. ","The course starts on Wednesday 3 January 2007, and takes 6 weeks to complete studying part time evening for 5 hours per week. You will study at the East Ham Campus.",The course fee is £75. If you are not eligible for the home student fee you will be charged the overseas fee of £375. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is yo,C1103146,06/07C,1E-NC-GOTHLTH-2-3C,"Health, Social Care and Public services"
NCPLH - National Certificate for Personal Licence ,2,01-Aug-06,1 week,7,Part Time Day,East Ham Campus,0,Level 2,This course is open to anyone working in an establishment that sells alcohol. This may include fast food restaurants who are applying for a premises licence as well as nightclubs and public houses. This qualification is also a compulsary qualification req,"The licensing legislation specific to differing roles, What you can and cannot do as well as whom you can and cannot serve alcohol to, Licencing policy, licensable activities, duties of a personal licence holder, rights of entry, protection of children fr",It is a one day course with a multiple choice exam that is split into two parts. Throughout the day discussions will be held as a group while watching a presentation. The exam will be held at the end of the day and invigilated by an approved invigilator.,"Once you have completed the course and received your certificate, you can apply for your personal licence. Once this is received you can then work wherever you want.",There are only 2 requirements to sit the exam and they are proof of address as well as some form of photo ID. When you are sent confirmation of the course you will also receive a list of what you must bring with you. This proof of ID must be shown to the ,"The course starts on Tuesday 1 August 2006, and takes 1 week to complete studying part time day for 7 hours per week. You will study at the East Ham Campus.",There is no fee for this course. ,C8202688,06/07RO,1D-CERT-LICHOLD-2,"Hospitality, Sports, Leisure and Travel"
NVQ Events,3,01-Aug-06,40 weeks,5,Open,Open - Distance learning,0,Level 3,"This course is aimed at people who are working at supervisory staff level in events, and who are seeking a nationally recognised qualification.","Planning the layout and programmes
Setting up and closing down events
Developing and maintaining effective working relationships

The course will assist candidates to demonstrate their competence through application of knowledge in a broad range of va","Compiling a portfolio of performance evidence to demonstrate competence against a range of performance criteria's as set out in the Units for Level 3 in the National Vocational Standards. Completing projects, assignments or exercises to address any gaps i",Take on further supervisory and team leading responsibilities in line with competences demonstrated in the NVQ and in accordance with the selected Strand Set. Further develop his/her professional  development plan including further education. Undertake Ev,Mathematics and English at 'A' level or equivalent. Employment within the events industry. Access to work activities that will enable the candidate to gather evidence. Support from employer/team leader/supervisor.,"The course starts on Tuesday 1 August 2006, and takes 40 weeks to complete studying via open learning.",There is no fee for this course. ,C5300145,06/07RO,1O-NVQ-EVENTS-3,"Hospitality, Sports, Leisure and Travel"
CACHE Diploma in Pre-School Practice,3,11-Sep-06,36 weeks,5,Part Time Day,Early Years Nursery Academy (Play Barn),400,Level 3 ,The CACHE/Pre School learning Alliance Level 3 Diploma in Pre School Practice is for those who wish to work at a supervisory level in a pre-school. It is a level 3 qualification and provides the opportunity to achieve free standing units or one qualificat,"The award consists of the following 3 core units: Promoting Children's Development, Early Learning, Best Practice in Pre School Settings, plus one option unit: Working with children with Special Education Needs , The first Year of Life,  Community develop","There are four assignments (one for each unit). Each assignment must be successfully completed in order to achieve the full award. In addition to these units, you will need to spend at least another 150 hours working in a pre-school setting.","You may progress to related level 3 qualification with accreditation of prior achievement, e.g. CACHE Diploma in Child Care and Education or you may progress directly into the level 4 NVQ in Early Years Care and Education according to your experience and ","You need either 4 GCSE's at grade C or above or equivalent, NVQ 2, Intermediate level qualification or the CACHE Certificate and some practical experience of working with children. All applicants will be invited for an interview.","The course starts on Monday 11 September 2006, and takes 36 weeks to complete studying part time day for 5 hours per week. You will study at the Early Years Nursery Academy (Play Barn).",The course fee is £400. If you are not eligible for the home student fee you will be charged the overseas fee of £2000. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C8300245,06/07A,1D-CACHE-DPRE-3,"Health, Social Care and Public services"
CACHE Diploma in Pre-School Practice,3,11-Sep-06,36 weeks,6,Part Time Day,Early Years Nursery Academy (Play Barn),400,Level 3 ,The CACHE/Pre School learning Alliance Level 3 Diploma in Pre School Practice is for those who wish to work at a supervisory level in a pre-school. It is a level 3 qualification and provides the opportunity to achieve free standing units or one qualificat,"The award consists of the following 3 core units: Promoting Children's Development, Early Learning, Best Practice in Pre School Settings, plus one option unit: Working with children with Special Education Needs , The first Year of Life,  Community develop","There are four assignments (one for each unit). Each assignment must be successfully completed in order to achieve the full award. In addition to these units, you will need to spend at least another 150 hours working in a pre-school setting.","You may progress to related level 3 qualification with accreditation of prior achievement, e.g. CACHE Diploma in Child Care and Education or you may progress directly into the level 4 NVQ in Early Years Care and Education according to your experience and ","You need either 4 GCSE's at grade C or above or equivalent, NVQ 2, Intermediate level qualification or the CACHE Certificate and some practical experience of working with children. All applicants will be invited for an interview.","The course starts on Monday 11 September 2006, and takes 36 weeks to complete studying part time day for 6 hours per week. You will study at the Early Years Nursery Academy (Play Barn).",The course fee is £400. If you are not eligible for the home student fee you will be charged the overseas fee of £2000. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C8300245,06/07C,1D-CACHE-DPRE-3,"Health, Social Care and Public services"
CACHE Diploma in Pre-School Practice (Evening),3,11-Sep-06,36 weeks,6,Part Time Evening,East Ham Campus,400,Level 3,The CACHE/Pre School learning Alliance Level 3 Diploma in Pre School Practice for those who wish to work at a supervisory level in a pre-school. It is a level 3 qualification and provides the opportunity to achieve free standing units or one qualification,"The award consists of the following 3 core units: Promoting Children's Development,  Early Learning, Best Practice in Pre School Settings, plus one option unit:  Working with children with Special Education Needs, The first Year of Life, Community develop","There are four assignments (one for each unit). Each assignment must be successfully completed in order to achieve the full award. In addition to these units, you will need to spend at least another 150 hours working in a pre-school setting.","You may progress to related level 3 qualification with accreditation of prior achievement, e.g. CACHE Diploma in Child Care and Education or you may progress directly into the level 4 NVQ in Early Years Care and Education according to your experience and ","You need either 4 GCSE's at grade C or above or equivalent, NVQ 2, Intermediate level qualification or the CACHE Certificate and some practical experience of working with children. All applicants will be invited for an interview.
All applications for car","The course starts on Monday 11 September 2006, and takes 36 weeks to complete studying part time evening for 6 hours per week. You will study at the East Ham Campus.",The course fee is £400. If you are not eligible for the home student fee you will be charged the overseas fee of £2000. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C8301680,06/07A,1E-CACHE-DPRE-3,"Health, Social Care and Public services"
Care,1,04-Jun-07,6 weeks,17,Full Time Short,East Ham Campus,0,Level 1,"If you want to learn about the basics of care and develop your English, Maths and IT so that you can progress to Level 2, then this is the course for you.","Introduction to child and adult care
Basic Health and Safety
Recreational activities in care settings.

This course explains the basic principles of care and will develop your English, Maths and IT skills to help you to move to a Level 1 course after ","Most of your work will be practical and will be assessed through regular assignments and tests. You will also have access to the computing resources in the College, including the latest multi-media facilities in the FLEXes Learning Waves.","NewCAD is the Newham College Access Diploma, which is awarded by the Open College Network (OCN). To achieve the Diploma you must complete 15 units and if you accomplish at least 6 units you will be awarded  the NewCAD Certificate. With the full NewCAD Dip","You do not need any previous experience or qualifications. However, you will need to be able to read and write English.","The course starts on Monday 4 June 2007, and takes 6 weeks to complete studying full time for 17 hours per week. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1101675,06/07F,1D-NC-CARE-1-6F,"Health, Social Care and Public services"
Get On Track Young Parents ,1,18-Apr-07,6 weeks,11,Full Time Short,East Ham Campus,129,Level 1  ,"This course is aimed at young parents who may not have the entry requirements to take part in higher level courses, or who would benefit from support and encouragement to return to formal education. Students will be expected to have a basic numeracy and l",This level 1 course is a fantastic opportunity for young parents to get back into education. It offers relevant life-skills training as well as key skills and taster courses. The curriculum is based around relevant and exciting projects that are immediate,"This course will be run at level 1 and leads to a nationally recognised qualification with the open College network. Within the course students will complete the following units:
4 personal development units including careers and employment training.
6 ","This course will act as a stepping stone to further education generally, and childcare courses in particular. Furthermore, the three taster courses will also prepare students to pursue these options should they find they have a flair for them.","The key skills of English communications, numeracy and ICT are essential for all future training and career development, and, as such, will be an important part of this course. These skills are especially relevant for those who did not achieve formal qual","The course starts on Wednesday 18 April 2007, and takes 6 weeks to complete studying full time for 11 hours per week. You will study at the East Ham Campus.",The course fee is £129. If you are not eligible for the home student fee you will be charged the overseas fee of £645. This course is free to UK/EU residents who are unemployed and in receipt of benefits. This course can be undertaken as a stand alone cou,C1102942,06/07E,1S-NC-GOTYP-1-5E,"Health, Social Care and Public services"
CACHE Certificate in Childcare and Education ,2,11-Sep-06,36 weeks,15,Full Time,East Ham Campus,903,Level 2,"If you are looking for the knowledge and skills to enable you to work competently, safely and effectively in a supervised role with children aged 0-8 years, then this is the course for you.","The physical care and development of the child
Working with young children
Emotional and social development
Preparation for employment with young children
Working with babies 0-1 years.
","This is an introductory course if you are interested in a career working with children aged 0-8 years.
You will have to complete five assignments, a multiple choice question paper and 65 days practice work on a work placement. Your final assessment will ",The two year Diploma in Childcare and Education (NNEB) or employment.,You should have 4 GCSEs grade E or above (including English & Mathematics) or NewCAD Foundation Level Diploma or Foundation GNVQ or NVQ Level 1 or equivalent overseas qualification. You will be invited to the College for an interview. This may include an ,"The course starts on Monday 11 September 2006, and takes 36 weeks to complete studying full time for 15 hours per week on various days. You will study at the East Ham Campus.",The course fee is £903. If you are not eligible for the home student fee you will be charged the overseas fee of £4000. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C8200584,06/07A,1F-CACHE-CCCE-2,"Health, Social Care and Public services"
Early Years,1,30-Oct-06,6 weeks,17.5,Full Time Short,East Ham Campus,198,Level 1,"If you have no experience in working with young children and want to gain the skills and knowledge that will prepare you to work with children aged 0-8 years old, safely and effectively in a supervised role, then this is the course for you.","Professional practice
Preparing for work Placements
Human development
Food and nutrition
Health and Safety Practices in Early Years Settings
Caring for Babies and Children
Finding out About Play
Practical Play Activities","For assessment, you will complete an assignment for each of the above units, and be credited for each unit you complete. You will need to complete all eight units to gain the full diploma. You will also be required to complete practice work experience in ","You can progress onto a higher-level qualification such as the NewCAD Intermediate level Diploma, or the Level 2 CACHE Certificate in Child Care and Education programme. ","No formal qualifications are required. However, it is recommended that your basic literacy skills should be at Entry level.","The course starts on Monday 30 October 2006, and takes 6 weeks to complete studying full time for 17.5 hours per week. You will study at the East Ham Campus.",The course fee is £198. If you are not eligible for the home student fee you will be charged the overseas fee of £4000. This course is free to UK/EU residents who are unemployed and in receipt of benefits. This course can be undertaken as a stand alone co,C1101563,06/07B,1S-NC-EYEARS-1-2B,"Health, Social Care and Public services"
Early Years,1,04-Jun-07,6 weeks,17.5,Full Time Short,East Ham Campus,198,Level 1,"If you have no experience in working with young children and want to gain the skills and knowledge that will prepare you to work with children aged 0-8 years old, safely and effectively in a supervised role, then this is the course for you.","Professional practice
Preparing for work Placements
Human development
Food and nutrition
Health and Safety Practices in Early Years Settings
Caring for Babies and Children
Finding out About Play
Practical Play Activities","For assessment, you will complete an assignment for each of the above units, and be credited for each unit you complete. You will need to complete all eight units to gain the full diploma. You will also be required to complete practice work experience in ","You can progress onto a higher-level qualification such as the NewCAD Intermediate level Diploma, or the Level 2 CACHE Certificate in Child Care and Education programme. ","No formal qualifications are required. However, it is recommended that your basic literacy skills should be at Entry level.","The course starts on Monday 4 June 2007, and takes 6 weeks to complete studying full time for 17.5 hours per week. You will study at the East Ham Campus.",The course fee is £198. If you are not eligible for the home student fee you will be charged the overseas fee of £4000. This course is free to UK/EU residents who are unemployed and in receipt of benefits. This course can be undertaken as a stand alone co,C1100029,06/07F,1S-NC-EYEARS-1-6F,"Health, Social Care and Public services"
Health & Social Care,2,19-Feb-07,6 weeks,16,Full Time Short,East Ham Campus,198,Level 2,"If you are interested in a career working with people, then this is the course for you.","Promoting health and well being
Health and social care services
Interpersonal skills
The influences on health and well-being.

This course will give you a good understanding of the care profession and careers","You will also study optional units and key skills in communication, numeracy and information technology. You will undertake projects and assignments to produce a portfolio of your work. You will also have access to the computing resources in the College, ","With a Merit you can progress to the AVCE in Health & Social Care or a Childcare course. Alternatively you will be able to look for employment as a Care Assistant in residential homes, day centre, nursing homes, hospitals or special need centres.",4 GCSEs grade C or above (including English & Mathematics) or NewCAD Foundation Level Diploma or Foundation GNVQ or NVQ Level 1 or equivalent overseas qualification. You will be invited to the college for an interview. This may include an assessment of yo,"The course starts on Monday 19 February 2007, and takes 6 weeks to complete studying full time for 16 hours per week. You will study at the East Ham Campus.",The course fee is £198. If you are not eligible for the home student fee you will be charged the overseas fee of £4000. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C1201451,06/07D,1S-NC-HLTHSC-2-4D,"Health, Social Care and Public services"
Get On Track Healthcare,2,04-Jun-07,6 weeks,5,Part Time Evening,East Ham Campus,75,Level 2 ,"Are you interested in a career in the health care industry?
Are you interested in studying flexibly in the evening to achieve your goal of working in the health care industry?
Are you working in the care industry at the moment and would like to improve ","This is a Level 2, health a social care course that offers a cohesive, broad based and inclusive program of study with clearly defined outcomes and progression routes.",Your work will be assessed through assignments.,"On successful completion of the course, you will be able to progress with a merit to the BTEC National Certificate in Care Level 3 or Early Years Professions course. Alternatively you will be able to look for employment as a Care Assistant in residential ","As this is a Level 2 course, the collage requires that candidates should have 4 GCSEs grade E or above (including English & Mathematics) or NewCAD Level 1 Diploma or Foundation GNVQ or NVQ Level 1 or equivalent overseas qualifications. ","The course starts on Monday 4 June 2007, and takes 6 weeks to complete studying part time evening for 5 hours per week. You will study at the East Ham Campus.",The course fee is £75. If you are not eligible for the home student fee you will be charged the overseas fee of £375. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is yo,C1103149,06/07F,1E-NC-GOTHLTH-2-6F,"Health, Social Care and Public services"
Care,1,11-Sep-06,6 weeks,17,Full Time Short,East Ham Campus,0,Level 1,"If you want to learn about the basics of care and develop your English, Maths and IT so that you can progress to Level 2, then this is the course for you.","Introduction to child and adult care
Basic Health and Safety
Recreational activities in care settings.

This course explains the basic principles of care and will develop your English, Maths and IT skills to help you to move to a Level 1 course after ","Most of your work will be practical and will be assessed through regular assignments and tests. You will also have access to the computing resources in the College, including the latest multi-media facilities in the FLEXes Learning Waves.","NewCAD is the Newham College Access Diploma, which is awarded by the Open College Network (OCN). To achieve the Diploma you must complete 15 units and if you accomplish at least 6 units you will be awarded  the NewCAD Certificate. With the full NewCAD Dip","You do not need any previous experience or qualifications. However, you will need to be able to read and write English.","The course starts on Monday 11 September 2006, and takes 6 weeks to complete studying full time for 17 hours per week. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1100231,06/07A,1D-NC-CARE-1-1A,"Health, Social Care and Public services"
Early Years,1,11-Sep-06,6 weeks,17.5,Full Time Short,East Ham Campus,0,Level 1,"If you have no experience in working with young children and want to gain the skills and knowledge that will prepare you to work with children aged 0-8 years old, safely and effectively in a supervised role, then this is the course for you.","Professional practice
Preparing for work Placements
Human development
Food and nutrition
Health and Safety Practices in Early Years Settings
Caring for Babies and Children
Finding out About Play
Practical Play Activities","For assessment, you will complete an assignment for each of the above units, and be credited for each unit you complete. You will need to complete all eight units to gain the full diploma. You will also be required to complete practice work experience in ","You can progress onto a higher-level qualification such as the NewCAD Intermediate level Diploma, or the Level 2 CACHE Certificate in Child Care and Education programme. ","No formal qualifications are required. However, it is recommended that your basic literacy skills should be at Entry level.","The course starts on Monday 11 September 2006, and takes 6 weeks to complete studying full time for 17.5 hours per week. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1100469,06/07A,1S-NC-EYEARS-1-1A,"Health, Social Care and Public services"
Diploma in Counselling,3,11-Sep-06,36 weeks,4,Part Time Day,East Ham Campus,1190,Level 3,This is a two-year clinical training for adults aged over 26 wishing to pursue a counselling or psychotherapy career.,The course emphasises the relationship between client and therapist as central to effective clinical outcomes. Students are therefore encouraged to find a relational style that suits them within the context of the client group they have chosen to work wit,"Theory is viewed as being of value insofar as it supports the establishment of an effective therapeutic relationship. Teaching is informed primarily by three relational approaches: existential psychotherapy, contemporary psychoanalysis and attachment theo",A counselling or psychotherapy career.,Certificate in Integrative counselling,"The course starts on Monday 11 September 2006, and takes 36 weeks to complete studying part time day for 4 hours per week on Monday - Friday. You will study at the East Ham Campus.",The course fee is £1190. If you are not eligible for the home student fee you will be charged the overseas fee of £1190. ,C8302585,06/07A,2D-DIP-CNSEL-3-Y1,"Health, Social Care and Public services"
Get On Track Healthcare,2,18-Apr-07,6 weeks,5,Part Time Evening,East Ham Campus,75,Level 2 ,"Are you interested in a career in the health care industry?
Are you interested in studying flexibly in the evening to achieve your goal of working in the health care industry?
Are you working in the care industry at the moment and would like to improve ","This is a Level 2, health a social care course that offers a cohesive, broad based and inclusive program of study with clearly defined outcomes and progression routes.",Your work will be assessed through assignments.,"On successful completion of the course, you will be able to progress with a merit to the BTEC National Certificate in Care Level 3 or Early Years Professions course. Alternatively you will be able to look for employment as a Care Assistant in residential ","As this is a Level 2 course, the collage requires that candidates should have 4 GCSEs grade E or above (including English & Mathematics) or NewCAD Level 1 Diploma or Foundation GNVQ or NVQ Level 1 or equivalent overseas qualifications. 
","The course starts on Wednesday 18 April 2007, and takes 6 weeks to complete studying part time evening for 5 hours per week. You will study at the East Ham Campus.",The course fee is £75. If you are not eligible for the home student fee you will be charged the overseas fee of £375. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is yo,C1103148,06/07E,1E-NC-GOTHLTH-2-5E,"Health, Social Care and Public services"
Foundation Certificate in Food Safety,1,01-Aug-06,1 week,7,Part Time Day,The Learning Line,0,Level 1,"This course is suitable for workers in the catering industry and food handlers: grocers, chefs, butchers - anyone who handles food as part of their job.
It is also suitable for those wanting to learn for employment in the food industry.","Food Poisoning and why it occurs
Contamination and Cross Contamination
Common Food Hazards
Storage and Temperature Control
Basic Microbiology Kitchen Design and its impact on Pest Control
Waste Management and Pest Control
Legislation
HACCP","Teaching is delivered over one day, through lecturing, videos, group exercises. 
There is a 45-minute, 30-question multiple-choice exam at the end of the day.","You will have the knowledge to apply good working practices in your line of work to ensure you are producing safe food.
You will acquire a recognised industry certificate on successful completion of an exam.","A knowledge of catering/food handling is useful but not a requirement.
A reasonable command of English - Industry jargon is used and there are technical terms.","The course starts on Tuesday 1 August 2006, and takes 1 week to complete studying part time day for 7 hours per week. You will study at The Learning Line.",There is no fee for this course. ,C8102190,06/07RO,1D-CERT-BFHYG-1-LL,"Hospitality, Sports, Leisure and Travel"
CACHE Diploma in Early Years Practice,3,11-Sep-06,36 weeks,9,Part Time Day,East Ham Campus,562,Level 3,This course is a level 3 course for those wishing to work with children aged 0-8 years old in a variety of settings.,"The course involves 8 units covering all areas of development, activities, child protection and working with parents.",There are 7 assignments and a short answer written test. You will also be required to attend a placement on a weekly basis or to be in employment with young children.,You will be qualified to work in Early Years settings in a supervised role. You can gain employment in a variety of settings or progress onto Level 4 qualifications in Early Years.,"You will need to have some experience of, or currently be working with childeren. 
All applications for care courses will be registered for a police check.","The course starts on Monday 11 September 2006, and takes 36 weeks to complete studying part time day for 9 hours per week. You will study at the East Ham Campus.",The course fee is £562. If you are not eligible for the home student fee you will be charged the overseas fee of £2810. This course is free to UK/EU residents who are unemployed and in receipt of benefits. You may be eligible for fee remission if this is ,C8301564,06/07A,1D-CACHE-DEYP-3,"Health, Social Care and Public services"
Care,1,19-Feb-07,6 weeks,17,Full Time Short,East Ham Campus,0,Level 1,"If you want to learn about the basics of care and develop your English, Maths and IT so that you can progress to Level 2, then this is the course for you.

","Introduction to child and adult care
Basic Health and Safety
Recreational activities in care settings.

This course explains the basic principles of care and will develop your English, Maths and IT skills to help you to move to a Level 1 course after ","Most of your work will be practical and will be assessed through regular assignments and tests. You will also have access to the computing resources in the College, including the latest multi-media facilities in the FLEXes Learning Waves.","NewCAD is the Newham College Access Diploma, which is awarded by the Open College Network (OCN). To achieve the Diploma you must complete 15 units and if you accomplish at least 6 units you will be awarded  the NewCAD Certificate. With the full NewCAD Dip","You do not need any previous experience or qualifications. However, you will need to be able to read and write English.","The course starts on Monday 19 February 2007, and takes 6 weeks to complete studying full time for 17 hours per week. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1100232,06/07D,1D-NC-CARE-1-4D,"Health, Social Care and Public services"
Care,1,03-Jan-07,6 weeks,17,Full Time Short,East Ham Campus,0,Level 1,"If you want to learn about the basics of care and develop your English, Maths and IT so that you can progress to Level 2, then this is the course for you.","Introduction to child and adult care
Basic Health and Safety
Recreational activities in care settings.

This course explains the basic principles of care and will develop your English, Maths and IT skills to help you to move to a Level 1 course after ","Most of your work will be practical and will be assessed through regular assignments and tests. You will also have access to the computing resources in the College, including the latest multi-media facilities in the FLEXes Learning Waves.","NewCAD is the Newham College Access Diploma, which is awarded by the Open College Network (OCN). To achieve the Diploma you must complete 15 units and if you accomplish at least 6 units you will be awarded  the NewCAD Certificate. With the full NewCAD Dip","You do not need any previous experience or qualifications. However, you will need to be able to read and write English.","The course starts on Wednesday 3 January 2007, and takes 6 weeks to complete studying full time for 17 hours per week. You will study at the East Ham Campus.","This course is free to home students. If you are not a home student you will be charged the overseas fee of £4000. This course can be undertaken as a stand alone course, or can be taken as one of several courses for an overall programme. If you choose to ",C1101674,06/07C,1D-NC-CARE-1-3C,"Health, Social Care and Public services"
